Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","290050","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5622","Import Value","116","Potatoes","2017","2017","1000 US$","77886","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","4903","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5922","Export Value","116","Potatoes","2017","2017","1000 US$","1490","","Official data"
"TP","Crops and livestock products","3","Albania","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","5735","R","Estimated data using trading partners database"
"TP","Crops and livestock products","3","Albania","5622","Import Value","116","Potatoes","2017","2017","1000 US$","2538","R","Estimated data using trading partners database"
"TP","Crops and livestock products","3","Albania","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","142","R","Estimated data using trading partners database"
"TP","Crops and livestock products","3","Albania","5922","Export Value","116","Potatoes","2017","2017","1000 US$","66","R","Estimated data using trading partners database"
"TP","Crops and livestock products","4","Algeria","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","141694","","Official data"
"TP","Crops and livestock products","4","Algeria","5622","Import Value","116","Potatoes","2017","2017","1000 US$","94231","","Official data"
"TP","Crops and livestock products","4","Algeria","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","822","","Official data"
"TP","Crops and livestock products","4","Algeria","5922","Export Value","116","Potatoes","2017","2017","1000 US$","348","","Official data"
"TP","Crops and livestock products","4","Algeria","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","1","","Official data"
"TP","Crops and livestock products","4","Algeria","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","7","Angola","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","15037","R","Estimated data using trading partners database"
"TP","Crops and livestock products","7","Angola","5622","Import Value","116","Potatoes","2017","2017","1000 US$","7580","R","Estimated data using trading partners database"
"TP","Crops and livestock products","7","Angola","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","3","R","Estimated data using trading partners database"
"TP","Crops and livestock products","7","Angola","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","6","R","Estimated data using trading partners database"
"TP","Crops and livestock products","8","Antigua and Barbuda","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","963","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1360","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","1","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5922","Export Value","116","Potatoes","2017","2017","1000 US$","2","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","69","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","93","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","2","","Official data"
"TP","Crops and livestock products","8","Antigua and Barbuda","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","9","Argentina","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","27152","","Official data"
"TP","Crops and livestock products","9","Argentina","5622","Import Value","116","Potatoes","2017","2017","1000 US$","7615","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","43509","","Official data"
"TP","Crops and livestock products","9","Argentina","5922","Export Value","116","Potatoes","2017","2017","1000 US$","6366","","Official data"
"TP","Crops and livestock products","9","Argentina","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","1591","","Official data"
"TP","Crops and livestock products","9","Argentina","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","441","","Official data"
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","8","","Official data"
"TP","Crops and livestock products","9","Argentina","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","22","","Official data"
"TP","Crops and livestock products","1","Armenia","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","1778","","Official data"
"TP","Crops and livestock products","1","Armenia","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1154","","Official data"
"TP","Crops and livestock products","1","Armenia","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","192","","Official data"
"TP","Crops and livestock products","1","Armenia","5922","Export Value","116","Potatoes","2017","2017","1000 US$","46","","Official data"
"TP","Crops and livestock products","22","Aruba","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","2310","","Official data"
"TP","Crops and livestock products","22","Aruba","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1925","","Official data"
"TP","Crops and livestock products","22","Aruba","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","69","","Official data"
"TP","Crops and livestock products","22","Aruba","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","85","","Official data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","1","Im","FAO data based on imputation methodology"
"TP","Crops and livestock products","10","Australia","5622","Import Value","116","Potatoes","2017","2017","1000 US$","2","","Official data"
"TP","Crops and livestock products","10","Australia","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","33716","","Official data"
"TP","Crops and livestock products","10","Australia","5922","Export Value","116","Potatoes","2017","2017","1000 US$","21293","","Official data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","319","","Official data"
"TP","Crops and livestock products","10","Australia","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","533","","Official data"
"TP","Crops and livestock products","10","Australia","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","987","","Official data"
"TP","Crops and livestock products","10","Australia","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","1634","","Official data"
"TP","Crops and livestock products","11","Austria","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","173347","","Official data"
"TP","Crops and livestock products","11","Austria","5622","Import Value","116","Potatoes","2017","2017","1000 US$","35270","","Official data"
"TP","Crops and livestock products","11","Austria","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","34573","","Official data"
"TP","Crops and livestock products","11","Austria","5922","Export Value","116","Potatoes","2017","2017","1000 US$","13138","","Official data"
"TP","Crops and livestock products","11","Austria","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","2966","","Official data"
"TP","Crops and livestock products","11","Austria","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","4073","","Official data"
"TP","Crops and livestock products","11","Austria","5910","Export Quantity","122","Sweet potatoes","2017","2017","tonnes","268","","Official data"
"TP","Crops and livestock products","11","Austria","5922","Export Value","122","Sweet potatoes","2017","2017","1000 US$","507","","Official data"
"TP","Crops and livestock products","52","Azerbaijan","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","166654","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5622","Import Value","116","Potatoes","2017","2017","1000 US$","26197","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","57333","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5922","Export Value","116","Potatoes","2017","2017","1000 US$","22999","R","Estimated data using trading partners database"
"TP","Crops and livestock products","52","Azerbaijan","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","1","*","Unofficial figure"
"TP","Crops and livestock products","52","Azerbaijan","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","2","*","Unofficial figure"
"TP","Crops and livestock products","12","Bahamas","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","1831","R","Estimated data using trading partners database"
"TP","Crops and livestock products","12","Bahamas","5622","Import Value","116","Potatoes","2017","2017","1000 US$","1392","R","Estimated data using trading partners database"
"TP","Crops and livestock products","12","Bahamas","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","60","R","Estimated data using trading partners database"
"TP","Crops and livestock products","12","Bahamas","5622","Import Value","122","Sweet potatoes","2017","2017","1000 US$","95","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","21532","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5622","Import Value","116","Potatoes","2017","2017","1000 US$","7694","R","Estimated data using trading partners database"
"TP","Crops and livestock products","13","Bahrain","5610","Import Quantity","122","Sweet potatoes","2017","2017","tonnes","297","R","Estimated data using trading partners database"
